t,x,y,yaw,wz,cmd_w,phase
12.25,33.9993896484375,40.80026626586914,0.12801581485892166,0.29128938913345337,0.3,step_0.3
12.266666666,33.99937438964844,40.80031967163086,0.1327290129529017,0.29048433899879456,0.3,step_0.3
12.283333333,33.999351501464844,40.80030059814453,0.1374320396173557,0.28935086727142334,0.3,step_0.3
12.3,33.999351501464844,40.800323486328125,0.1421311298641624,0.2895011603832245,0.3,step_0.3
12.316666666,33.999351501464844,40.8003044128418,0.1468203402199898,0.28966087102890015,0.3,step_0.3
12.333333333,33.99935531616211,40.80030822753906,0.15152274945615923,0.2898988127708435,0.3,step_0.3
12.35,33.99933624267578,40.80033874511719,0.15622560929004328,0.29095470905303955,0.3,step_0.3
12.366666666,33.99931335449219,40.800331115722656,0.16093085273782973,0.2914377748966217,0.3,step_0.3
12.383333333,33.99931335449219,40.80027389526367,0.16563862569052487,0.2921253740787506,0.3,step_0.3
12.4,33.99932098388672,40.80027770996094,0.17036418512593823,0.29298150539398193,0.3,step_0.3
12.416666666,33.99932861328125,40.80022430419922,0.17508132212474045,0.2939358651638031,0.3,step_0.3
12.433333333,33.99931716918945,40.80022430419922,0.17981425847121185,0.2935244143009186,0.3,step_0.3
12.45,33.99932098388672,40.800174713134766,0.1845428062176768,0.29241007566452026,0.3,step_0.3
12.466666666,33.99930953979492,40.800140380859375,0.18926817194693482,0.29183152318000793,0.3,step_0.3
12.483333333000001,33.999290466308594,40.800140380859375,0.19398806037695912,0.28996190428733826,0.3,step_0.3
12.5,33.99929428100586,40.80017852783203,0.1987000421711922,0.290825754404068,0.3,step_0.3
12.516666666,33.999298095703125,40.80016326904297,0.20340447252592977,0.2921808063983917,0.3,step_0.3
12.533333333,33.99932098388672,40.80009460449219,0.20811285101538754,0.2905457615852356,0.3,step_0.3
12.55,33.99934387207031,40.800025939941406,0.21279292613791162,0.2879621982574463,0.3,step_0.3
12.566666666,33.999332427978516,40.8000373840332,0.21748355318830204,0.2885328531265259,0.3,step_0.3
12.583333333,33.99929428100586,40.80007553100586,0.2221726720568661,0.287858784198761,0.3,step_0.3
12.6,33.9992561340332,40.800071716308594,0.2268516687707832,0.2892155349254608,0.3,step_0.3
